X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
0.002147794538759056,0.818182,0.0019453677917648953,0.0,0.00424,0.0,0.166667,0.0,0.083333,0.0,0.0,0.00558659217877095,0.003978631353655269,0.0,1.0,0.03171953255425709,0.001825645631584768
0.16816909701674723,0.909091,0.0,0.0,0.0,0.13668490864085,0.0,0.0,0.0,0.16666666666666666,0.032520325203252036,0.0,0.08089338728282809,0.222222,1.0,0.23205342237061768,0.014034479105143828
0.13102613595644605,1.0,0.015766247542545745,0.018968260296237233,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0335195530726257,0.012264364146940043,0.0,1.0,0.24874791318864775,0.008209618062206773
0.08752079058547794,0.636364,0.030567152199744003,0.0367751234321813,0.0,0.004365723158335575,0.083333,0.083333,0.0,0.05555533333333334,0.008130081300813009,0.002793296089385475,0.0,0.0,1.0,0.24874791318864775,0.011310436993234852
0.042940103199039056,1.0,0.00032626713488719417,0.00039252966972308257,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.002793296089385475,0.013373716974826266,0.0,1.0,0.038397328881469114,0.003203563471277063
0.09503836488390284,1.0,0.02718784035014989,0.0,0.05925688888888889,0.0,0.666667,0.0,0.583333,0.0,0.0,0.0223463687150838,0.027602855383052818,0.0,1.0,0.05843071786310518,0.03150565319071385
0.03293894039701825,1.0,0.14459771975977767,0.15707638995369377,0.030594666666666666,0.0,1.0,1.0,1.0,0.0,0.0,0.1787709497206704,0.12527855865136514,1.0,1.0,0.44908180300500833,0.002592024746407283
0.09576429522130202,1.0,0.008894857764862131,0.0,0.019386666666666667,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.01338811558763529,0.0,1.0,0.07512520868113523,0.00696298085849036
0.05329617645758494,1.0,0.017567242127123055,0.01622840320157012,0.008888888888888889,0.0,0.333333,0.083333,0.25,0.0,0.0,0.013966480446927373,0.013569764178915764,0.0,1.0,0.23205342237061768,0.004082709171964879
0.007993744020733525,0.545455,0.02613399750446425,0.03144162654481891,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.008379888268156424,0.022964048246241986,0.0,1.0,0.3656093489148581,0.0013124996961167282
0.06790503229946566,1.0,0.018762807259525317,0.0,0.04089422222222222,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.02135783370748801,0.0,1.0,0.038397328881469114,0.028435898305100425
